SID,Year,ASJC,Description,SJR,Quartile,Percentile
12001,2023,2802,Behavioral Neuroscience,1.047,1,78
12001,2023,3205,Experimental and Cognitive Psychology,1.047,1,79
12002,2023,1202,History,0.173,2,69
12002,2023,3201,Psychology (miscellaneous),0.173,4,12
12004,2023,2738,Psychiatry and Mental Health,1.141,1,75
12004,2023,3203,Clinical Psychology,1.141,1,81
12005,2023,2738,Psychiatry and Mental Health,1.317,1,81
12005,2023,3203,Clinical Psychology,1.317,1,86
12006,2023,1407,Organizational Behavior and Human Resource Management,2.966,1,93
12006,2023,3202,Applied Psychology,2.966,1,95
12006,2023,3304,Education,2.966,1,99
12006,2023,3319,Life-span and Life-course Studies,2.966,1,97
12007,2023,2002,Economics and Econometrics,0.162,4,14
12007,2023,2604,Applied Mathematics,0.162,4,7
12007,2023,2613,Statistics and Probability,0.162,4,5
12007,2023,3301,Social Sciences (miscellaneous),0.162,3,26
12007,2023,3317,Demography,0.162,4,23
12008,2023,2002,Economics and Econometrics,0.333,3,39
12008,2023,2613,Statistics and Probability,0.333,3,31
12008,2023,3305,"Geography, Planning and Development",0.333,2,50
12008,2023,3316,Cultural Studies,0.333,1,85
12008,2023,3321,Public Administration,0.333,3,41
12010,2023,3201,Psychology (miscellaneous),9.438,1,99
12013,2023,1202,History,0.101,4,6
12013,2023,1208,Literature and Literary Theory,0.101,4,13
12013,2023,1212,Religious Studies,0.101,4,6
12013,2023,3316,Cultural Studies,0.101,4,4
12014,2023,2738,Psychiatry and Mental Health,0.194,4,17
12014,2023,3201,Psychology (miscellaneous),0.194,4,18
12016,2023,1104,Aquatic Science,0.766,1,82
12016,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.766,1,77
12020,2023,1201,Arts and Humanities (miscellaneous),1.343,1,95
12020,2023,2738,Psychiatry and Mental Health,1.343,1,82
12020,2023,3203,Clinical Psychology,1.343,1,86
12020,2023,3204,Developmental and Educational Psychology,1.343,1,85
12024,2023,1201,Arts and Humanities (miscellaneous),0.761,1,85
12024,2023,3204,Developmental and Educational Psychology,0.761,2,59
12024,2023,3205,Experimental and Cognitive Psychology,0.761,2,58
12027,2023,3204,Developmental and Educational Psychology,0.109,4,2
12027,2023,3304,Education,0.109,4,3
12028,2023,3201,Psychology (miscellaneous),1.061,1,80
12028,2023,3301,Social Sciences (miscellaneous),1.061,1,91
12029,2023,1201,Arts and Humanities (miscellaneous),2.664,1,99
12029,2023,3202,Applied Psychology,2.664,1,93
12029,2023,3204,Developmental and Educational Psychology,2.664,1,95
12030,2023,2802,Behavioral Neuroscience,0.474,4,23
12030,2023,2805,Cognitive Neuroscience,0.474,3,29
12030,2023,3205,Experimental and Cognitive Psychology,0.474,3,33
12033,2023,2210,Mechanical Engineering,0.114,4,4
12033,2023,2211,Mechanics of Materials,0.114,4,1
12033,2023,2506,Metals and Alloys,0.114,4,6
