SID,Title,ISSN,EISSN,Coverage,Language,Type,Publisher,Code
21101170611,@GRH,20349130,22959149,2023-2024,ENG; FRE,Journal,Association Francophone de Gestion des Relations Humaines,1407
21100832755,1700-tal: Nordic Journal for Eighteenth-Century Studies,16524772,20019866,2019-2023; 2016-2017,DAN; FIN; GER; NOR,Journal,Swedish Society for Eighteenth-Century Studies,1213; 3316; 1202
21101194408,20 & 21: Revue d'Histoire,2649664X,26496100,2022-2024,ENG; FRE,Journal,Presses de Sciences Po,1202
21100404576,2D Materials,,20531583,2014-2024,ENG,Journal,IOP Publishing Ltd.,2210; 2211; 3104; 2500; 1600
21100447128,3 Biotech,2190572X,21905738,2011-2025,ENG,Journal,Springer Science and Business Media Deutschland GmbH,2301; 1101; 1305
21100779062,3D Printing and Additive Manufacturing,23297662,23297670,2014-2024,ENG,Journal,Mary Ann Liebert Inc.,2209; 2501
21100932761,3D Printing in Medicine,,23656271,2018-2024,ENG,Journal,BioMed Central Ltd,2741; 1706; 2204
19700200922,"3L: Language, Linguistics, Literature",1285157,25502247,2008-2024,ENG,Journal,Penerbit Universiti Kebangsaan Malaysia,1208; 3310; 1203
21101005201,452?F,,20133294,2019-2024,CAT; SPA,Journal,"Universitat de Barcelona, Facultad de Filologia",1208
145295,4OR,16194500,16142411,2003-2024,ENG,Journal,Springer,1703; 1803; 1404; 2614
16400154734,A + U-Architecture and Urbanism,3899160,,2002-2024,ENG; JPN,Journal,"Japan Architects Co., Ltd.",3322; 1213; 2216
21100881366,A and A Practice,,25753126,2018-2024,ENG,Journal,Wolters Kluwer Health,2700
5700161051,A Contrario,16607880,16628667,2020-2023; 2009-2018; 2003-2007,ENG; FRE,Journal,Editions Antipodes,1208; 3320; 3312; 3316
21101076713,A e C - Revista de Direito Administrativo e Constitucional,15163210,19844182,2019-2024,ENG; FRE; POR; SPA,Journal,Instituto de Direito Romeu Felipe Bacellar,3308
21100456161,a/b: Auto/Biography Studies,8989575,21517290,2015-2024,ENG,Journal,Routledge,3316; 1202; 1208
11600153683,A/Z ITU Journal of the Faculty of Architecture,25647474,25647571,2011-2024,ENG,Journal,"Istanbul Teknik Universitesi, Faculty of Architecture",1213; 3322; 2216; 2205
21100780699,A+BE Architecture and the Built Environment,22123202,22147233,2021-2024; 2016-2018,ENG,Book Series,TU Delft Open,3322; 1202; 2215; 2216
5800207606,AAA - Arbeiten aus Anglistik und Amerikanistik,1715410,,2002-2024,GER,Journal,Gunter Narr Verlag,1208; 3310; 1203
28033,AAC: Augmentative and Alternative Communication,7434618,14773848,1985-2024,ENG,Journal,Taylor and Francis Ltd.,3616; 2742
21101074855,AACE Clinical Case Reports,,23760605,2015-2024,ENG,Journal,Elsevier B.V.,2712
19300156808,AACL Bioflux,18448143,18449166,2009-2024; 2006,ENG,Journal,Bioflux Publishing House,2308; 2312; 1104; 1105
4700152443,AACN Advanced Critical Care,15597768,15597776,2006-2024,ENG,Journal,American Association of Critical-Care Nurses,2906; 2711
26729,AANA Journal,946354,21625239,1973-2024,,Journal,AANA Publishing Inc.,2914; 2902; 2703
5100155055,AAO Journal,23755776,23755717,2006-2024,ENG,Journal,American Academy of Osteopathy,2902; 2707; 3603
30787,AAPG Bulletin,1491423,,1968-2024,ENG,Journal,American Association of Petroleum Geologists,1907; 1906; 2103; 2102; 1901
21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",3650359,18251242,2004-2024,ENG; ITA,Journal,Accademia Peloritana dei Pericolanti,1900; 1207; 3100; 1100; 2600; 1600; 1700
21101165632,AAPPS Bulletin,2182203,23094710,2021-2024,ENG,Journal,Springer,3100
21100853564,AAPS Advances in the Pharmaceutical Sciences Series,22107371,2210738X,2014-2024; 2011,ENG,Book Series,Springer Verlag,3003
